train_number,train_name,scraped_train_name,csv_source,csv_destination,scraped_source,scraped_destination,identity_check,running_days,status
47118,Hyderabad Lingampalli MMTS,HYB LPI LOCAL,HYDERABAD DECCAN,LINGAMPALLI,,,unknown,1111111,summary_parse_failed
47119,Hyderabad Lingampalli MMTS,HYB-LPI,HYDERABAD DECCAN,LINGAMPALLI,Hyderabad Decan,Lingampalli,match,1111111,ok
47120,Hyderabad Lingampalli MMTS,HYB-LPI,HYDERABAD DECCAN,LINGAMPALLI,Hyderabad Decan,Lingampalli,match,1111100,ok
47121,Hyderabad Lingampalli MMTS,HYB-LPI,HYDERABAD DECCAN,LINGAMPALLI,Hyderabad Decan,Lingampalli,match,1111111,ok
47122,Hyderabad Lingampalli MMTS,HYB-LPI,HYDERABAD DECCAN,LINGAMPALLI,Hyderabad Decan,Lingampalli,match,1111111,ok
47127,Lingampalli Hyderabad MMTS,LPI HYB LOCAL,LINGAMPALLI,HYDERABAD DECCAN,Lingampalli,Hyderabad Decan,match,1111111,ok
47128,Lingampalli Hyderabad MMTS,LPI-HYB,LINGAMPALLI,HYDERABAD DECCAN,Lingampalli,Hyderabad Decan,match,1111111,ok
47129,Lingampalli Hyderabad MMTS,LPI HYB LOCAL,LINGAMPALLI,HYDERABAD DECCAN,Lingampalli,Hyderabad Decan,match,1111100,ok
47130,Lingampalli Hyderabad MMTS,LPI-HYB,LINGAMPALLI,HYDERABAD DECCAN,Lingampalli,Hyderabad Decan,match,1111111,ok
47132,Lingampalli Hyderabad MMTS,LPI HYB LOCAL,LINGAMPALLI,HYDERABAD DECCAN,,,unknown,1111111,summary_parse_failed
47133,Lingampalli Hyderabad MMTS,LPI HYB LOCAL,LINGAMPALLI,HYDERABAD DECCAN,,,unknown,1111111,summary_parse_failed
47134,Lingampalli Hyderabad MMTS,LPI HYB LOCAL,LINGAMPALLI,HYDERABAD DECCAN,,,unknown,1111111,summary_parse_failed
47135,Lingampalli Hyderabad MMTS,LPI HYB LOCAL,LINGAMPALLI,HYDERABAD DECCAN,,,unknown,1111111,summary_parse_failed
47136,Lingampalli Hyderabad MMTS,LPI HYB LOCAL,LINGAMPALLI,HYDERABAD DECCAN,,,unknown,1111111,summary_parse_failed
47137,Lingampalli Hyderabad MMTS,LPI HYB LOCAL,LINGAMPALLI,HYDERABAD DECCAN,,,unknown,1111111,summary_parse_failed
